benchmark,YalSAT-DDFW,TaSSAT-LiWeT,UBCSAT-DDFW,YalSAT-prob 
ce9d0b1d7f0a92b9fee43fc0e0106fef-ferry11.shuffled-as.sat03-380.cnf.xz,37.47,0.37,258,16.45
8aa9da1b9faca7329acaea993d163d0d-TimetableCNFEncoding_6_UNKNOWN.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
069f7d519e820f6b879f880703907bb3-SGI_30_60_28_40_2-dir.shuffled-as.sat03-124-sc2002.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
21634cd1f513b4aa7907cb8364d76e17-g6n.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
055f942145df4b6c9fd0d10a3f1da98e-atco_enc1_opt1_15_240.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
0c75119940f87f2bc1dc3f53aeedc02b-20-100-lambda100-89_sat.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
04d28cb98f3362dfcd4ab74d4bb82de3-ex065_24.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
32f9900af4924d30329eb0eb9f8aa26b-aaai10-planning-ipc5-pipesworld-27-step14.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
9e35558ea8ffba630cd8c8f90e14af14-string_compare_safety_cbmc_unwinding_730.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
18ae95ad7071b0d086ef6d840d551720-sgen3-n170-s56409011-unsat.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
3daaf7b12568b19f3ff4a8916de749a7-instance_n3_i4_pp.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
7e2e2abe33db065f5a0f0a0ccc09d388-iso-brn001.shuffled-as.sat05-2741.cnf.xz,48.63,1.02,333.99,75
37d51818a1e24d2659c8a94a72da386b-GracefulGraph-K04-P04_c18.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
4cbb2f9e2f4572c5a3dc93f7545bc4fb-php-012-010.shuffled-as.sat05-1172.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
03c44a93577c98119dc498053888937a-ctl_4291_567_1_unsat_pre.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
2c5452e8b90e57f4e0900438ff749f20-ps_300_322_20.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
96924854d1a391b6d4ec53364e871fd6-snw_13_9_preOptEncpre.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
cb65cfd7531894955b244038c771ff25-linvrinv6.shuffled-as.sat05-565.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
b6a597cf8ee0031341730aaf77ef2fcf-g2-hwmcc15deep-6s161-k18.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
a93b40d498d30c579ada82019317c4c3-LABS_n078_goal006.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
fb79263d8e6bba39c3b3476ffff425d1-sted3_0x1e3-147.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e6cdc2687fa53506021f05b60ad0c6a2-GracefulGraph-K05-P02_c18.cnf.xz,TIMEOUT,2015.92,2141.39,TIMEOUT
ee7b9f52837d86848e8c9473f2b16bad-rand_net40-30-10.shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
f257e048f26b71858a5711c11ab37ed6-bart29.shuffled.cnf.xz,0,0,0,0
e853278921bf8fc70cd091e97dd5fd82-SAT_dat.k70-24_1_rule_1.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
